trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
267,False,"{'a': 0.75, 'e': 0.6751}",25,13,-134.9331013763997,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 3}",1
268,False,"{'a': 0.75, 'e': 0.6636}",20,7,-78.8501940972463,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
269,False,"{'a': 0.75, 'e': 0.6518999999999999}",20,12,-5.973437177576197,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
270,False,"{'a': 0.75, 'e': 0.64}",30,12,-25.60469164430756,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.75, 'e': 0.6279}",35,21,-3.5501818250426,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
272,False,"{'a': 0.75, 'e': 0.6155999999999999}",20,6,-26.622517499045696,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
273,False,"{'a': 0.75, 'e': 0.6031}",20,3,-73.22745578597294,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
274,False,"{'a': 0.75, 'e': 0.5904}",25,11,-13.217754287780494,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
275,False,"{'a': 0.75, 'e': 0.5775}",20,15,0.48359882815293065,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.75, 'e': 0.5644}",20,13,6.477073947991623,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.75, 'e': 0.5510999999999999}",25,8,-20.92992679038728,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
278,False,"{'a': 0.75, 'e': 0.5376000000000001}",20,8,-19.272222216104513,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.75, 'e': 0.5239}",20,15,3.40978325268005,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.75, 'e': 0.51}",20,10,4.475525649792775,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.75, 'e': 0.4959}",25,8,-2.9843733612185197,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.75, 'e': 0.48160000000000003}",30,16,3.9161465633187458,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
283,False,"{'a': 0.75, 'e': 0.46709999999999996}",25,16,3.9526245436702894,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.75, 'e': 0.4524}",20,7,1.4895183977225814,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.75, 'e': 0.4375}",25,13,3.421046894581792,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.75, 'e': 0.4224}",20,0,-6.465081168697085,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
287,False,"{'a': 0.75, 'e': 0.4071}",25,6,0.6267418958433615,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
288,False,"{'a': 0.75, 'e': 0.39159999999999995}",25,12,27.143533546333416,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.75, 'e': 0.3759}",20,5,10.594707492189752,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.75, 'e': 0.36}",20,5,-42.62879067131112,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
291,False,"{'a': 0.75, 'e': 0.3439}",25,15,18.806684318039625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.75, 'e': 0.3276}",20,0,-21.954516719169796,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
293,False,"{'a': 0.75, 'e': 0.31110000000000004}",25,11,15.20123741326639,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.75, 'e': 0.2944}",20,11,5.540595112722336,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.75, 'e': 0.27749999999999997}",20,6,-15.647759903560905,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
296,False,"{'a': 0.75, 'e': 0.26039999999999996}",20,3,17.878398018430428,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.75, 'e': 0.24309999999999998}",25,7,33.39919231651845,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.75, 'e': 0.22560000000000002}",30,23,6.086405579108628,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.75, 'e': 0.20789999999999997}",20,13,3.6286295030507176,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.75, 'e': 0.18999999999999995}",25,8,-8.417762592353421,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.75, 'e': 0.17190000000000005}",20,10,-33.59306178393235,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
302,False,"{'a': 0.75, 'e': 0.15359999999999996}",20,16,9.640621778816142,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.75, 'e': 0.1351}",20,8,18.085300078623856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.75, 'e': 0.11639999999999995}",20,14,15.023955589530656,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.75, 'e': 0.09750000000000003}",20,16,7.048630343325505,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.75, 'e': 0.07840000000000003}",25,19,11.295192456576425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.75, 'e': 0.05910000000000004}",30,17,20.380278908730908,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.75, 'e': 0.03959999999999997}",20,14,12.218721971522765,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.75, 'e': 0.01990000000000003}",30,16,28.037312937069597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.75, 'e': 0.0}",20,14,10.42245580786928,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,30.670233029592364,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,16,26.949209532405053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,9.754420587062896,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,23.582466125156976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,21.570018267122684,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,17,33.95921743528465,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,9,34.952329322722996,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,20.18314032832793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,19,12.454117562604756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,11,28.08738269199152,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,11,19.04239135203317,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,8,31.489554484081914,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,0,27.034759938712828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,13,10.870178292672781,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,34.29836857912141,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,12,22.97858665623383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,12,29.68370286217203,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,9,20.527663468189868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,8,20.943752794112175,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,8,22.49409504862071,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,9,19.53950782266802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,10,28.331653023740287,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",30,12,32.0865461770273,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,3,34.02909650789355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,14,17.27251921320454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,5,38.878518819140375,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,13,31.546429955663978,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,9,20.588088223747253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",25,13,20.15246360056019,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,6,25.975312745292726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
